"No","year","month","day","hour","PM2.5","PM10","SO2","NO2","O3","TEMP","PRES","DEWP","RAIN","wd","WSPM","target"
5825,2013,10,29,16,3,6,9,18,63,13.9,1020.6,-2.5,0,"NE",1.3,300
17231,2015,2,16,22,20,66,9,31,47,6,1010,-12.1,0,"SE",1.1,600
20520,2015,7,3,23,33,70,4,37,79,23.7,1006.4,11.1,0,"SSE",2.3,700
22110,2015,9,8,5,43,65,2,62,2,17.6,1009,16.6,0,"NE",0.7,800
15041,2014,11,17,16,19,53,7,32,64,11.8,1022,-10.5,0,"SSW",2.3,500
26446,2016,3,6,21,116,282,38,87,14,6.4,1008.3,-8.7,0,"NNE",0.9,1900
28070,2016,5,13,13,15,75,6,19,122,23.7,1015.9,0.7,0,"SW",4,400
14056,2014,10,7,15,145,180,27,57,106,20.8,1014.5,7.8,0,"S",1.7,1100
3576,2013,7,27,23,156,101,12.5664,98.9546,2,23.6,994.3,23.1,0,"NE",0.1,1600
25581,2016,1,30,20,101,139,35,74,2,-4.8,1031.9,-21.4,0,"NNE",0.8,1800
22052,2015,9,5,19,17,17,2,35,80,17.7,1008,15.7,0.1,"WNW",1.6,700
18233,2015,3,30,16,181,368,38,47,141,20.5,997.4,7.1,0,"ESE",1.4,1600
15322,2014,11,29,9,145,172,10,66,2,1.1,1011,-3.6,0,"NNW",1.4,2000
6308,2013,11,18,19,8,17,11,22,54.4068,2.5,1018,-16.1,0,"NNE",2.2,400
7833,2014,1,21,8,11,26,26,8,50,-2.9,1025.9,-19.8,0,"NNW",2.3,400
19804,2015,6,4,3,29,78,5,26,70,22.4,998.7,6.6,0,"NE",1.8,400
32549,2016,11,16,4,95,145,11,71,2,1.7,1016.6,0.5,0,"NE",0.7,2000
13903,2014,10,1,6,60,115,7,74,2,12.6,1011.3,4.3,0,"NW",1.8,800
2394,2013,6,8,17,185,226,3,61,3,21.4,1002.2,20,0,"NNE",0.8,2200
21858,2015,8,28,17,11,11,2,15,126,32.5,1000.7,11.6,0,"NE",1.6,400
24986,2016,1,6,1,85,86,36,91,20,-6.2,1025.6,-13.1,0,"NE",1.1,2500
4893,2013,9,20,20,43,135,2,81,10,20.6,1007.6,14.5,0,"W",0,1000
10495,2014,5,12,6,30,30,2,39,2,12.4,997.5,12.1,0,"E",0.8,1000
22316,2015,9,16,19,96,116,16,36,154,23.9,1012.7,14,0,"SSW",1.6,1000
31799,2016,10,15,22,165,165,2,68,2,15,1013.2,13.2,0,"E",1.1,1900
28029,2016,5,11,20,156,177,5,39,106,24.5,994.2,16.7,0,"NE",0.8,1400
26161,2016,2,24,0,17,19,6,35,43,-4.2,1034.6,-20,0,"ENE",0.7,500
1493,2013,5,2,4,40,90,24,51,46,14.7,1009.2,1.6,0,"S",1.3,800
13227,2014,9,3,2,7,7,2,8,40,18.9,1002.2,14,0,"NNW",2,300
10284,2014,5,3,11,51,78,20,63,45,23,1001.4,1.3,0,"SW",6.2,600
26174,2016,2,24,13,29,29,14,35,71,6.1,1026.7,-18.7,0,"SW",2.7,400
18013,2015,3,21,12,3,100,5,14,80,16.4,1010.3,-21.4,0,"NW",3.7,300
9017,2014,3,11,16,171,202,91,63,96,13.4,1009.6,-3.4,0,"NNE",1.3,1800
24804,2015,12,29,11,236,241,46,92,11,-0.8,1025.1,-7.4,0,"NE",1.6,3200
31777,2016,10,15,0,240,240,3,95,2,13.8,1019.3,12.7,0,"NNE",1.5,1800
25824,2016,2,9,23,51,63,29,62,20,-0.1,1016.5,-13.1,0,"ENE",1.3,900
11318,2014,6,15,13,96,96,31,31,245,31.1,998.7,18.1,0,"SE",1.4,1200
25896,2016,2,12,23,53,53,3,25,41,4.9,1014.7,2.8,1.2,"NNW",2.9,800
32149,2016,10,30,12,96,96,12,92,18,8.8,1020.3,0.7,0,"NE",1.9,1300
34475,2017,2,4,10,324,324,63,106,10,2.7,1015.5,-10.2,0,"E",1.2,400
22061,2015,9,6,4,16,16,2,42,38,17.7,1008.9,15.3,0,"NE",1,500
5307,2013,10,8,2,71,141,1,27,14,15.6,1020,13.8,0,"NE",1.6,1000
4275,2013,8,26,2,49,185,9,82,27,23.8,998.1,19.3,0,"NE",1.2,1100
26778,2016,3,20,17,56,56,6,35,93,18.3,1019,-8,0,"SSW",2,600
24479,2015,12,15,22,4,5,3,14,43,-1.2,1023.7,-16.6,0,"N",2.7,200
13175,2014,8,31,22,44,69,2,10,107,22.2,1005.2,18.8,0,"WNW",0.9,1100
15117,2014,11,20,20,349,409,12,178,5,2.3,1014,0.4,0,"S",0.7,4700
15038,2014,11,17,13,14,14,15,6,68,12.3,1020.7,-11.4,0,"WNW",4,300
11488,2014,6,22,15,31,22,2,9,169,26,998.2,16.3,0,"WSW",2.5,400
22773,2015,10,5,20,199,199,4,117,42,16.7,1010.8,14.9,0,"NE",0.1,1600
11601,2014,6,27,8,14,14,2,17,57,29.7,1004.8,11.7,0,"NNE",2.9,300
11194,2014,6,10,9,81,81,10,56,42,23.2,1003.4,17,0,"WNW",1.1,1300
34153,2017,1,22,0,15,22,11,44,27,-6.66,1025,-21.8,0,"NE",1.4,1100
4593,2013,9,8,8,53,58,1,19,34,20.8,1009.6,16.6,0,"NW",0.4,800
7789,2014,1,19,12,125,115,108,85,20,1.6,1013.4,-8,0,"S",1.1,2900
1969,2013,5,22,0,126,211,31,49,82,21.6,998.3,9.5,0,"E",0.5,2100
6422,2013,11,23,13,73,80,31,49,36,14.8,1014.9,-6.7,0,"N",2.1,1300
13581,2014,9,17,20,75,101,2,71,55,16.3,1012.4,11.9,0,"NNW",1.5,800
